### Sudoku classic ECLiPSe, Wed May 11 22:54:43 CEST 2011
### medium difficult verydifficult expert lambda hard17 symme eastermonster tarek_052 goldennugget coloin hardest extra1 extra2 extra3 extra4
### VarOrder; Seconds; Backtracks
# varorder = input_order
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.0; 0
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.0; 0
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.01; 0
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.0; 5
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 1.06; 10786
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.51; 1383
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.12; 548
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.12; 648
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.03; 53
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.08; 295
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.28; 763
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.11; 648
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 6.63; 4229
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.45; 4236
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 1.03; 10786
VarOrder; NrSols; Seconds; Backtracks
input_order; 1; 0.3; 2856

# varorder = first_fail
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.01; 0
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.0; 0
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.0; 0
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.01; 4
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.17; 773
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.15; 476
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.09; 377
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.1; 424
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.04; 5
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.1; 354
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.34; 750
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.1; 424
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.23; 871
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.44; 1454
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.15; 773
VarOrder; NrSols; Seconds; Backtracks
first_fail; 1; 0.28; 1074

